Universe,Strategy,CAGR %,Sharpe,Sortino,Max DD %,Ann. Turnover %,Ann. Costs bps,"Ann. Costs ($ @ 10,000,000)",Mean solve (s),"Ann. Costs (₽ @ 1,000,000,000)",Net excess vs 1/N (bps)
SP500,1/N Equal weight,15.993147153033279,0.9475278288392174,0.1957698809498216,-31.95792894668319,4.71899224806201,0.4718992248062015,471.8992248062015,1.9036976833219133e-05,,0.0
SP500,Continuous MVO,23.927247264417637,0.836560409333284,0.2992835966337199,-43.59478742551022,292.8843976382644,29.28843976382645,29288.43976382645,0.0327473876523,,793.4100111384358
SP500,Continuous + Top-K rounding,23.92717734710547,0.8365586264214266,0.2992833600760903,-43.59478759566259,292.88484420365626,29.288484420365617,29288.484420365618,0.0551944569199654,,793.4030194072191
SP500,SCIP MIQP (discrete),23.9310451953334,0.8365476712173231,0.2993674657210741,-43.59484167194035,292.9914961201725,29.29914961201725,29299.14961201725,0.9227666540669944,,793.7898042300121
SP500,Neal SA (quantum-inspired),24.833685318893288,0.8611134424513909,0.3239618525095005,-43.89901668825562,368.114701489457,36.811470148945695,36811.47014894569,2.3301256546351,,884.0538165860008
MOEX,1/N Equal weight,92.47250676520024,0.3546921727410465,22.51970316963368,-41.54789242811396,5.95063538611925,1.785190615835777,,1.2545545567011478e-05,178519.0615835777,0.0
MOEX,Continuous MVO,-4.47857312750762,0.0448650378871011,0.0176979010191469,-71.91608813325296,185.57232132937216,55.67169639881165,,0.0123417481513795,5567169.639881165,-9695.107989270786
MOEX,Continuous + Top-K rounding,-4.4844535721416,0.0446921590641551,0.01763173615305,-71.91608646793249,185.6295426167106,55.68886278501317,,0.0227168378141238,5568886.278501317,-9695.696033734184
MOEX,SCIP MIQP (discrete),-4.477112360837681,0.0449294054636208,0.0177289239225849,-71.90407959558348,185.5621505677282,55.668645170318456,,0.1370677686028994,5566864.517031846,-9694.961912603792
MOEX,Neal SA (quantum-inspired),-4.50229702517939,0.0442143813785226,0.017451743686238,-72.20709268304151,197.3734547945993,59.21203643837982,,0.8217094368612541,5921203.643837982,-9697.480379037963
