N,K,budget_s,solver,objective_median,gap_median_pct,wall_time_median,feasible_rate,n_seeds
50,12,0.5,ecos_bb,-0.2115835791744259,0.009757120927618643,0.27851750199624803,1.0,3
50,12,0.5,neal,-0.19430466709645386,8.665972489256127,0.7275208589926478,1.0,3
50,12,0.5,scip,-0.1455944233007842,33.011960740308986,0.5494531809963519,1.0,3
50,12,0.5,tabu,-0.21160422565461098,0.0,0.49515184100164333,1.0,3
50,12,1.0,ecos_bb,-0.2115835791744259,0.009757120927618643,0.2586141039937502,1.0,3
50,12,1.0,neal,-0.1952029072729303,8.665972489256127,1.333177587002865,1.0,3
50,12,1.0,scip,-0.1455944233007842,33.011960740308986,1.043091549006931,1.0,3
50,12,1.0,tabu,-0.21160422565461098,0.0,0.988188319002802,1.0,3
50,12,3.0,ecos_bb,-0.2115835791744259,0.009757120927618643,0.2514093080026214,1.0,3
50,12,3.0,neal,-0.2012520118536975,3.747412607516775,4.682757599002798,1.0,3
50,12,3.0,scip,-0.2116041836869542,1.983309013058536e-05,2.764855200002785,1.0,3
50,12,3.0,tabu,-0.21160422565461098,0.0,2.4071272580040386,1.0,3
50,12,10.0,ecos_bb,-0.2115835791744259,0.009757120927618643,0.25337795700033894,1.0,3
50,12,10.0,neal,-0.2012520118536975,3.747412607516775,6.5140166169949225,1.0,3
50,12,10.0,scip,-0.2116041836869542,1.983309013058536e-05,2.8188317270032712,1.0,3
50,12,10.0,tabu,-0.21160422565461098,0.0,7.313800092000747,1.0,3
100,25,0.5,ecos_bb,-0.20731089847735726,0.043447049212968464,2.77085890500166,1.0,3
100,25,0.5,neal,-0.18729901101714458,10.158759515426548,0.5158957219973672,1.0,3
100,25,0.5,scip,-0.041336087784490466,80.05105331407094,0.6500634499971056,1.0,3
100,25,0.5,tabu,-0.20720937518794802,0.0,0.482177944999421,1.0,3
100,25,1.0,ecos_bb,-0.20731089847735726,0.043447049212968464,2.8208976489986526,1.0,3
100,25,1.0,neal,-0.1922311840759753,7.228529644658613,1.1327921219999553,1.0,3
