Universe,Strategy,CAGR %,Sharpe,Sortino,Max DD %,Ann. Turnover %,Ann. Costs bps,"Ann. Costs ($ @ 10,000,000)",Mean solve (s),"Ann. Costs (₽ @ 1,000,000,000)",Net excess vs 1/N (bps)
SP500,1/N Equal weight,15.993147153033279,0.9475278288392174,0.1957698809498216,-31.95792894668319,4.71899224806201,0.4718992248062015,471.8992248062015,1.7988320447387187e-05,,0.0
SP500,Continuous MVO,16.38187148326444,0.874472123836867,0.2470535116779937,-26.41921728152133,211.57618852840753,21.15761885284077,21157.61885284077,0.0288020064802217,,38.87243302311614
SP500,Continuous + Top-K rounding,16.36376131197154,0.8735913106056958,0.2468948654123579,-26.41914700089732,211.6348280336887,21.16348280336888,21163.48280336888,0.0440111928761526,,37.061415893826144
SP500,SCIP MIQP (discrete),16.35562856653856,0.8731943867756067,0.2467766824708512,-26.437322033838228,211.7165953802305,21.17165953802306,21171.65953802306,0.8443352233404917,,36.24814135052805
SP500,Neal SA (quantum-inspired),11.66919292548045,0.722864904445952,0.1793463332306088,-25.88309247339865,872.9064955915366,87.29064955915369,87290.6495591537,1.5707105743244114,,-432.3954227552829
MOEX,1/N Equal weight,92.47250676520024,0.3546921727410465,22.51970316963368,-41.54789242811396,5.95063538611925,1.785190615835777,,1.011651048510529e-05,178519.0615835777,0.0
MOEX,Continuous MVO,3.7969155201615403,0.2830015033647704,0.0807571086278013,-39.75854698738251,146.3101879568611,43.89305638705831,,0.0093144263950001,4389305.638705831,-8867.55912450387
MOEX,Continuous + Top-K rounding,4.402002894280891,0.3118657120925986,0.0906856196073099,-39.75854605121188,153.79211932687983,46.13763579806392,,0.0172427135316821,4613763.579806392,-8807.050387091935
MOEX,SCIP MIQP (discrete),4.40928039458377,0.312197822835061,0.0907653008419468,-39.77413108462915,153.72603367599083,46.117810102797264,,0.2554082093186363,4611781.010279726,-8806.322637061647
MOEX,Neal SA (quantum-inspired),2.23630833243673,0.2012525645535383,0.06094631656823,-38.87597590995089,549.6276502211032,164.88829506633104,,0.5879877181331821,16488829.506633103,-9023.61984327635
